ID,Path,Image Area,Pixel Size,Cntour Pixel Area,Area in square nm,Density
2|132,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,714.0,305072.53938517865,4.987787383149015e-08
2|133,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,716.0,305927.08431342844,4.987787383149015e-08
2|134,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,720.5,307849.8104019905,4.987787383149015e-08
2|135,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,724.5,309558.9002584901,4.987787383149015e-08
2|136,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,726.0,310199.8089546774,4.987787383149015e-08
2|137,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,726.0,310199.8089546774,4.987787383149015e-08
2|138,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,726.5,310413.4451867399,4.987787383149015e-08
2|139,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,733.0,313190.71620355174,4.987787383149015e-08
2|140,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,734.5,313831.6248997391,4.987787383149015e-08
2|141,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,737.5,315113.4422921138,4.987787383149015e-08
2|142,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,738.0,315327.07852417626,4.987787383149015e-08
2|143,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,738.0,315327.07852417626,4.987787383149015e-08
2|144,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,741.5,316822.5321486134,4.987787383149015e-08
2|145,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,741.5,316822.5321486134,4.987787383149015e-08
2|146,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,743.5,317677.0770768632,4.987787383149015e-08
2|147,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,746.0,318745.25823717547,4.987787383149015e-08
2|148,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,748.0,319599.80316542526,4.987787383149015e-08
2|149,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,751.0,320881.62055779994,4.987787383149015e-08
2|150,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,751.5,321095.2567898624,4.987787383149015e-08
2|151,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,754.5,322377.0741822371,4.987787383149015e-08
2|152,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,756.5,323231.6191104869,4.987787383149015e-08
2|153,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,759.0,324299.80027079914,4.987787383149015e-08
2|154,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,759.0,324299.80027079914,4.987787383149015e-08
2|155,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,759.0,324299.80027079914,4.987787383149015e-08
2|156,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,759.5,324513.4365028616,4.987787383149015e-08
2|157,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,761.5,325367.9814311114,4.987787383149015e-08
2|158,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,766.0,327290.70751967345,4.987787383149015e-08
2|159,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,766.5,327504.3437517359,4.987787383149015e-08
2|160,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,767.5,327931.6162158608,4.987787383149015e-08
2|161,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,769.0,328572.52491204813,4.987787383149015e-08
2|162,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,776.0,331563.43216092244,4.987787383149015e-08
2|163,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,776.5,331777.0683929849,4.987787383149015e-08
2|164,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,776.5,331777.0683929849,4.987787383149015e-08
2|165,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,777.5,332204.3408571098,4.987787383149015e-08
2|166,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,778.5,332631.6133212347,4.987787383149015e-08
2|167,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,779.0,332845.2495532972,4.987787383149015e-08
2|168,images/test-images/NbTiN-TiB-21_150C_0005.tif,8400518462.666835,20.67057,782.0,334127.06694567186,4.987787383149015e-08
